RETAILER_NAME,TURNOVER
Act'N'Up Fitness,413424.56
ActiForme,82203.40000000001
Advanced Climbing Ltd,5338.8
American Home,358544.60000000003
Anapurna,189242.3
Arjan Aitta,183116.9
Beck's Sports Store,486235.56
Bellini,123797.38
Beter Buitenleven,582178.52
Brambilla,152272.7
Browns Opticals,21242.56
Buena Vista Eyeware,21794.84
By A Thread,247742.94
Camping Equipment Online,177116.96
Camping Sauvage,897900.2000000001
Campingspecialisten,739535.52
"Chen Yu Enterprise Co.,",202651.78
"China Multi-channel Sports Co., LTD.",30060.74
Chuei Hyakkaten,41410.3
Connor Department Store,157355.54
Consumer Club,582809.8
Cordages Discount,452627.68
Der Fitness-Doktor,197883.3
Die Fitness-Experten,52291.380000000005
Die Zeltstadt,641227.96
Donovan's Sports,414408.2
Edward's Department Store,136002.28
Esportes Grumari,1826066.1
Extra Sport,202737.78
Extrem!,899605.04
Extreme Outdoors,1267132.48
Eye Dimensions,23591.78
Falcon Outfitters,2454658.44
Fu Chin Sport Equipment Co.,134903.06
Get Out,42729.979999999996
Golf Masters,173723.34
Golf Shop Jiro,56215.42
Golfer-Paradies,82029.23999999999
Grand choix,507636.18
Hai Wan Shin Sport Equipment Co.,244990.04
Hanagata Golf Shop,144150.88
"Hangzhou Superman Sports Goods Co., LTD.",185777.91999999998
Hansung Golf,172909.02
Hartman's,339120.58
Hinode Megane,1461.36
Holland Zonzoekers,276744.46
Holstein Golf,384901.06
Hurst Ironmongers,462723.42
In die Berge!,851813.98
Jack and Jill Climbing School & Supplies,22239.14
Japan Sports Youhinten,163677.42
Jensen Mountaineering,1091279.84
Kanjosen Sport,188245.96
La bonne Forme,547322.66
"Lan King Sports Co., LTD.",149763.08
Le Golfeur,25274.0
Leisure Land,551169.62
"MER-KA-DOS, S.A. de C.V.",358192.86
Maximum Sports,681212.72
Mega-Outlet,174872.69999999998
Mountain Madness,21290.22
NIPPON Sofcon Net,33913.96
Naranco de Bulnes,648525.28
NonSoloNeve,654137.78
Ocio y Aventura,255599.28
Optique et Lentilles,2778.62
Outdoor Experience,997070.64
Outdoor Gear Co-op,430260.62
Paradiso della Tenda,940844.9
Parkland Camping Rentals,25628.440000000002
Pumped!,36695.08
Rad und Tat,104574.64
Rock Steady,23674.08
Romford Tools Ltd,180388.4
Second Wind Sports,728315.74
Sport & Freizeit,371023.42
Sport Jonas,409573.32
SportsClub,253751.66
Sportworld,320403.48
Sunglass Corner,27742.36
T & R Sport,141964.52
Taeho Sports,259501.48
Tamarack Outfitter Rentals,30258.440000000002
The Caddy's Corner,67453.32
The Golf Hut,163199.4
The Marketplace,120771.94
"Todo para el Golf, S.A. de C.V.",69189.2
Topforma,90134.44
Trail Masters,147202.86
Ultra Sports,1048653.5
Up The Creek,159453.68
VIP Department Stores,1003270.34
Weitblick,36755.420000000006
Weston Outfitters,947465.38
