Actual,Predicted
30,59.22216856943795
90,59.45410876373894
52,53.573402832807105
28,56.38881567850174
48,58.16170938806603
6,18.62843262960093
2,0.7486349925033338
68,58.44092077065476
50,59.864254037581055
24,53.99800823772204
142,59.57777211252462
8,53.60923336284351
50,59.980607163727164
6,55.18885810368985
4,0.16578104311786035
18,55.40263120027644
44,55.46780066158958
54,60.28349096091885
18,55.82384633418757
36,56.309831838705485
22,59.637210609971945
32,57.999018595309124
24,56.890280487593685
118,59.68386085444416
18,59.04421276071934
22,41.38787481679466
266,59.76386226477347
26,24.491282130615183
18,47.5795287497948
10,59.493843186062705
30,54.301394100359744
66,59.86919908721735
62,58.45719457069439
52,57.22286654387855
136,54.19094154316464
14,26.312105185153435
48,58.132031493446675
14,49.83756875862314
28,59.470354559836316
82,59.43479122525964
38,28.38745775415317
116,60.0279200609406
18,50.04979133023858
6,4.75258565399718
60,59.41371560595593
32,59.76178153452905
204,56.44565079888466
24,59.30860428856075
46,29.056788574641146
32,47.57087381445952
54,58.111000520640744
36,57.35758383058874
2,50.40515593638197
30,30.820701825168527
42,59.195994448892115
74,58.42345846813941
278,59.57745864908428
56,53.54849756083421
34,54.89779231843587
28,60.028430584208834
22,49.87354373022182
2,0.02006755577149022
16,54.25569650866707
60,48.84388323254796
18,59.006168301573744
48,34.80507631846653
30,56.08349191646728
20,52.785354729909
38,54.918883805658965
120,58.436088025369244
38,47.690144285534124
26,60.03434781423005
18,40.36144605180078
66,60.166239313820654
28,59.934824517207375
70,55.77767743185885
16,8.589283541339817
104,57.359496547947884
28,58.40601645539445
56,53.2855532808525
16,57.80900926133599
46,52.406122533138245
26,60.05085791601266
60,40.52582419105025
108,57.22286654387855
20,38.73950305466454
68,44.58871829209623
30,56.01588839931782
16,39.92468222133415
62,57.07289370027523
32,55.111204225583705
62,60.25988840885885
10,54.32981976270058
4,24.89843165735848
20,58.08261524036813
26,54.94694019112576
34,26.61603757303059
110,55.852737578673505
78,56.21481789389795
40,59.88863432688368
20,57.83997394768017
14,54.88124501426023
66,59.54506608978898
32,54.63099536668331
12,52.10600244573196
52,57.260040044735746
38,60.204817778151174
42,55.73506073924487
20,59.11434609265314
42,56.58750388952009
60,58.67363504723708
40,54.48118297921486
32,59.65892613902588
12,40.81725116574298
42,28.445167658997264
90,56.1946897928582
28,59.60003126325349
12,8.798369679575323
102,59.32689305556352
32,59.06373172835531
82,51.59877675876734
54,56.08652701812684
28,44.806742048036256
18,58.84475322603384
38,57.862016503229334
74,59.39986312571084
66,58.205505975658525
78,59.53814736709779
192,59.86706729387788
82,55.381976251277614
20,40.94430000118626
30,56.21760619949205
22,59.568733267998915
24,48.85801357851138
146,55.601914245739785
194,59.43767187708881
20,55.22677729412979
12,52.10600244573196
32,56.78304598737803
20,56.209085177388985
32,56.36377128316474
26,53.09030993245866
32,57.13610377974584
74,60.329519092139506
60,60.29851515613379
8,59.56839471192729
40,53.946605917969755
14,56.53839938426809
18,58.17687348732479
6,27.052800494969524
62,59.68386085444416
64,58.69831655603619
16,49.87354373022182
78,54.86590561070824
166,59.7729692299672
12,48.93337875720529
20,40.79858651383989
22,51.75766638110524
48,59.70864708760432
46,59.39935260244261
22,43.46680874432917
186,60.01278078122425
24,51.44339388982908
48,6.5931951771699815
38,59.22313490868626
122,59.663838804622934
34,60.28288343822965
44,53.53452444957646
16,37.41461355558292
112,48.548362851722146
8,58.23535495189557
74,57.29059020598631
30,44.89707320922537
26,56.19259039130442
30,59.50128702258448
22,55.64352329745075
86,55.594473047440076
116,59.624242354741924
20,56.87893086421283
36,60.0279200609406
26,54.64043124519753
4,45.87835510905039
30,43.48661945387838
30,58.57388595054034
12,54.44410455222113
4,51.15072867169838
52,60.31934703563334
56,59.70088410694884
28,57.77187351811495
40,59.46356944025911
206,60.25142615325446
58,59.89819842716854
20,31.967787356277476
24,55.12580133389649
10,3.534282104021493
32,54.86853155010285
26,59.63955667340907
22,54.58669041573673
10,60.30602608581612
8,53.45993355063646
498,59.16465546210109
8,39.48754175929504
40,59.56458505742494
22,54.06427852999818
198,59.90957575211984
18,50.10047292187908
18,25.2989358635239
20,39.34182827194867
20,59.15334304413505
96,59.57564031918514
42,56.149093704097375
222,60.05528923946621
16,58.158991509707334
42,53.65517894327702
22,54.63099536668331
16,52.25312010037904
98,59.271506625565216
40,57.931325414922455
10,54.560695280706575
